-72,-72,-90,82
-64,-83,80,18
31,86,13,65
37,79,30,34
87,-4,-28,-54
-9,3,-77,-10
88,0,63,-39
10,-41,79,-35
63,15,3,-89
-20,-54,-16,40
-86,87,12,53
85,17,82,-3
38,43,-78,-81
72,95,-34,-95
-92,-53,-53,2
35,-56,-51,88
60,-59,-34,-89
-72,-14,29,13
-15,13,22,81
6,77,-14,55
68,-96,4,42
42,-67,32,74
-22,33,-83,18
10,64,-88,-96
25,90,-67,58
-67,81,-29,72
-35,61,-51,-17
55,30,-55,-86
-59,-34,-80,54
56,-27,-94,63
30,26,-30,24
-31,-100,-8,12
-45,-42,-27,58
13,21,-96,-6
-12,28,38,93
-53,-74,52,-39
99,-41,68,-37
31,-52,92,50
86,50,-91,64
-67,32,-79,84
-84,73,-66,89
-42,-60,22,-30
84,26,-8,98
19,0,83,-45
-55,-49,5,96
25,77,-63,-39
-25,-79,82,-35
90,-41,-86,-67
-52,-82,9,-99
-29,59,-84,94
-82,-31,76,86
-4,-96,-16,42
-6,-68,-49,-86
63,-92,-67,27
57,15,-44,-69
36,-1,79,39
-56,20,55,-43
35,94,-21,9
71,-38,-75,41
-29,20,-59,82
-100,83,-60,-7
27,36,-7,94
-27,86,59,-49
60,60,-34,-53
1,3,-18,-18
-69,89,-37,-11
-17,96,-34,-42
-80,82,26,-56
87,-43,-29,29
-58,-64,-85,-30
-78,-20,-82,84
-53,-85,-45,68
-100,43,-45,-9
-90,-45,-49,-16
-66,-33,-84,-61
-35,72,71,16
74,-43,13,-87
-21,41,-17,19
-97,69,1,-6
74,59,32,-60
-89,-61,77,25
-84,-83,33,-24
-43,-26,-98,9
-20,-84,-98,9
53,82,59,33
-98,-26,71,51
5,62,100,-6
5,-69,-90,21
-83,-67,-99,77
82,-1,-86,-100
90,-80,-19,100
13,56,-33,-61
-27,-77,94,19
-89,-36,-44,-42
-15,67,-7,25
-32,-90,29,78
11,-51,-45,1
4,93,-7,98
82,-98,22,-70
34,44,7,97
37,-16,-100,71
-69,-4,67,46
22,46,-98,94
-94,87,17,37
42,49,84,-34
21,-66,75,4
10,-77,-20,97
-65,-13,50,8
56,88,-43,-21
88,-55,96,-38
-8,-46,-73,74
0,13,48,-62
35,-86,93,75
